Actor,Title,Year,Rating
Aaron Taylor-Johnson,A Million Little Pieces,2018,6.2
Aaron Taylor-Johnson,Avengers : L'Ère d'Ultron,2015,7.3
Aaron Taylor-Johnson,Bullet Train,2022,7.3
Aaron Taylor-Johnson,Calls,2021,7.7
Aaron Taylor-Johnson,Kraven the Hunter,2024,5.4
Aaron Taylor-Johnson,Les Griffin,2014,8.1
Aaron Taylor-Johnson,Nocturnal Animals,2016,7.4
Aaron Taylor-Johnson,Nosferatu,2024,
Aaron Taylor-Johnson,Outlaw King : Le Roi hors-la-loi,2018,6.9
Aaron Taylor-Johnson,Rhye: Black Rain,2020,8.1
Aaron Taylor-Johnson,Tenet,2020,7.3
Aaron Taylor-Johnson,The Fall Guy,2024,6.9
Aaron Taylor-Johnson,The King's Man : Première Mission,2021,6.3
Aaron Taylor-Johnson,The Last Meal,2018,6.8
Aaron Taylor-Johnson,The Wall,2017,6.2
Ali Larter,Creepshow,2021,7.0
Ali Larter,Kidnapping,2004,4.6
Ali Larter,Landman,2024,8.3
Ali Larter,Larry et son nombril,2017,8.8
Ali Larter,Le Second souffle,2014,7.3
Ali Larter,Legends,2014,7.4
Ali Larter,Marigold,2007,4.8
Ali Larter,Pitch,2016,7.5
Ali Larter,Resident Evil : Chapitre final,2016,5.5
Ali Larter,Spin the Bottle,2024,3.5
Ali Larter,Splitting Up Together,2018–2019,6.9
Ali Larter,The Diabolical,2015,4.7
Ali Larter,The Hater,2022,4.5
Ali Larter,The Last Victim,2021,5.0
Ali Larter,The Last Victim,2021,5.0
Ali Larter,The Man in the White Van,2023,6.0
Ali Larter,The Rookie : Le flic de Los Angeles,2019–2020,8.0
Ali Larter,Top Secret Videos,2020–2021,3.3
Ben Whishaw,Bad Behaviour,2023,4.3
Ben Whishaw,Black Doves,2024,7.2
Ben Whishaw,Bright Star,2009,6.9
Ben Whishaw,Fargo,2020,8.9
Ben Whishaw,Good Boy,2023,6.4
Ben Whishaw,In Heat,2024,
Ben Whishaw,Les aventures de Paddington,2019–2020,8.3
Ben Whishaw,Limonov. La ballade,2024,5.9
Ben Whishaw,Miss Fortunate,2021,6.7
Ben Whishaw,Mourir peut attendre,2021,7.3
Ben Whishaw,O Holy Ghost,2019,7.1
Ben Whishaw,Paddington au Pérou,2024,6.8
Ben Whishaw,Passages,2023,6.6
Ben Whishaw,Queen Elizabeth and Paddington Bear Film,2022,8.9
Ben Whishaw,This Is Going to Hurt,2022,8.4
Ben Whishaw,This Is Going to Hurt,2022,8.4
Ben Whishaw,Ungentle,2023,7.0
Ben Whishaw,Women Talking,2022,6.9
Brandon Sklenar,1923,2022–2023,8.3
Brandon Sklenar,"Emily, criminelle malgré elle",2022,6.7
Brandon Sklenar,Futra Days,2024,5.6
